CPUID:,0x906ED
Processor:,Intel Core i7 9700K (Coffee Lake)
Platform:,LGA 1151 (Socket H4)
Revision:,R0
Lithography:,14nm

Session start:,22:14:57 - November 02 - 2020

Time,Core 0 Temp. (�),Core 1 Temp. (�),Core 2 Temp. (�),Core 3 Temp. (�),Core 4 Temp. (�),Core 5 Temp. (�),Core 6 Temp. (�),Core 7 Temp. (�),,Core 0,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 1,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 2,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 3,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 4,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 5,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 6,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 7,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),CPU 0 Power,
22:15:07 11/02/20,31,30,31,30,31,30,30,29,,,31,46,5,798.63,,30,39,2,798.63,,31,41,7,798.63,,29,36,1,798.63,,31,42,6,798.63,,29,39,4,798.63,,29,36,6,798.63,,29,35,6,798.63,4.6,
22:15:17 11/02/20,56,55,44,43,45,55,40,41,,,31,56,39,4492.31,,30,55,72,4492.31,,31,44,34,4492.31,,29,43,33,4492.31,,31,45,28,4492.31,,29,55,39,4492.31,,29,40,28,4492.31,,29,41,33,4492.31,55.4,
22:15:27 11/02/20,48,40,40,37,40,38,41,38,,,31,56,30,4492.31,,30,55,58,4592.13,,31,54,41,4592.13,,29,47,33,4592.13,,31,51,36,4592.13,,29,55,30,4592.13,,29,46,35,4592.13,,29,50,35,4592.13,65.6,
22:15:37 11/02/20,32,32,33,30,32,31,31,30,,,31,56,6,3494.02,,30,55,8,3494.02,,31,54,8,3494.02,,29,47,6,3194.53,,31,51,1,3194.53,,29,55,0,3194.53,,29,46,1,3194.53,,29,50,5,3194.53,4.9,
22:15:47 11/02/20,34,33,33,32,32,30,32,32,,,31,56,9,4492.31,,30,55,22,4592.13,,31,54,9,4592.13,,29,47,7,4592.13,,30,51,6,4592.13,,29,55,3,4592.13,,29,46,6,4592.13,,29,50,14,4592.13,8.9,
22:15:57 11/02/20,42,51,41,41,41,41,40,43,,,31,56,19,4492.31,,30,55,47,4492.31,,31,54,32,4492.31,,29,47,21,4592.13,,30,51,21,4492.31,,29,55,22,4592.13,,29,46,27,4492.31,,29,50,12,4592.13,48.6,
22:16:07 11/02/20,34,33,34,32,32,32,32,32,,,31,56,17,1996.58,,30,55,28,1996.58,,31,54,16,1996.58,,29,47,11,1996.58,,30,51,9,1996.58,,29,55,9,1996.58,,29,46,9,1996.58,,29,50,14,1996.58,31.5,
22:16:17 11/02/20,32,31,31,30,31,30,31,31,,,31,56,12,1697.09,,30,55,6,1697.09,,31,54,6,1697.09,,29,47,4,1397.61,,30,51,9,1397.61,,29,55,0,1397.61,,29,46,6,1397.61,,29,50,14,1397.61,9.6,
22:16:27 11/02/20,33,33,34,31,33,32,33,31,,,30,56,11,2495.73,,30,55,17,2495.73,,31,54,9,2495.73,,29,47,11,2495.73,,30,51,11,2495.73,,29,55,11,2495.73,,29,46,6,2495.73,,29,50,11,2495.73,19.6,
22:16:37 11/02/20,36,47,36,35,36,35,35,35,,,30,56,9,4492.31,,30,55,36,4592.13,,31,54,14,4592.13,,29,49,6,4592.13,,30,51,5,4592.13,,29,55,3,4592.13,,29,56,3,4592.13,,29,50,8,4592.13,34.3,
22:16:47 11/02/20,33,32,32,31,33,33,33,31,,,30,56,6,3494.02,,30,55,13,3494.02,,31,54,9,3494.02,,29,51,3,3494.02,,30,51,6,3494.02,,29,55,3,3494.02,,29,56,2,3494.02,,29,50,8,3494.02,9.0,
22:16:57 11/02/20,33,32,33,31,33,30,31,31,,,30,56,4,1597.26,,30,55,15,1597.26,,31,54,16,1597.26,,29,51,0,1597.26,,30,51,7,1597.26,,29,55,5,1597.26,,29,56,9,1597.26,,29,50,9,1996.58,11.7,
